GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42263,2025-06-27 02:52:47.299021+00:00,Slymon+3784,Corvid Conspiracy,2,30,1,Autumn,Random,Exiles and Partisans,,Live,,M02
DbInput!42263,2025-06-27 02:52:47.299021+00:00,Gp1ckle331477642+2727,Woodland Alliance,1,25,0,Autumn,Random,Exiles and Partisans,,Live,,M02
DbInput!42250,2025-06-26 13:55:17.108186+00:00,robinsrus9+9439,Keepers in Iron,4,14,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42250,2025-06-26 13:55:17.108186+00:00,leecanine+4508,Woodland Alliance,3,17,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42250,2025-06-26 13:55:17.108186+00:00,Bofurkle+3082,Underground Duchy,2,26,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42250,2025-06-26 13:55:17.108186+00:00,StoneOfShame+5048,Lizard Cult,1,31,1,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42249,2025-06-26 13:23:25.952143+00:00,Antiproject+7236,Woodland Alliance,4,24,0,Autumn,Random,Exiles and Partisans,Vagabond (Ronin),Async,,M02
DbInput!42249,2025-06-26 13:23:25.952143+00:00,NadtyLite+7330,Eyrie Dynasties,3,30,1,Autumn,Random,Exiles and Partisans,Vagabond (Ronin),Async,,M02
DbInput!42249,2025-06-26 13:23:25.952143+00:00,AERotters+5277,Lord of the Hundreds,2,21,0,Autumn,Random,Exiles and Partisans,Vagabond (Ronin),Async,,M02
DbInput!42249,2025-06-26 13:23:25.952143+00:00,TercMa+9283,Marquise de Cat,1,23,0,Autumn,Random,Exiles and Partisans,Vagabond (Ronin),Async,,M02
DbInput!42247,2025-06-26 05:38:43.075846+00:00,arghaghosh12799+3207,Vagabond (Vagrant),4,2,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42247,2025-06-26 05:38:43.075846+00:00,snakzz+6252,Eyrie Dynasties,3,3,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42247,2025-06-26 05:38:43.075846+00:00,Cotton+4951,Keepers in Iron,2,20,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42247,2025-06-26 05:38:43.075846+00:00,awawpogi+9425,Woodland Alliance,1,31,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42238,2025-06-25 17:14:31.510095+00:00,Decoy+2687,Lord of the Hundreds,4,30,1,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42238,2025-06-25 17:14:31.510095+00:00,TurkeyNoNo+9522,Keepers in Iron,3,22,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42238,2025-06-25 17:14:31.510095+00:00,NadtyLite+7330,Underground Duchy,2,23,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42238,2025-06-25 17:14:31.510095+00:00,lumpyprol+3206,Corvid Conspiracy,1,27,0,Autumn,Random,Exiles and Partisans,Lizard Cult,Async,,M02
DbInput!42235,2025-06-25 15:43:50.162147+00:00,KFull+1226,Keepers in Iron,4,31,1,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
